Part,Value,Device,Package,Notes
C0,10u,C-USC0805K,SMD 0805,General-purpose 10uF 0805 ceramic cap
C1,220uF,CAP_POL3528-KIT,EIA3528-KIT,Use either C1 (tan cap) or C1' (electro cap)
C1',,CPOL-EUD,PANASONIC_D,
C2,0.1u,C-USC0603K,SMD 0603,General-purpose 0.1uF (104) 0603 ceramic cap
CH340,CH340G,CH340G,SO16,"USB-serial chip, SOIC-16"
CHG,LED0805,LEDCHIPLED_0805,CHIPLED_0805,General-purpose LED 0805
CN1,,JST_2PIN-SMT-RA,JST-PH-2-SMT-RA,LiPo battery jack 2.0mm
D1,LL4148,DIODE-MINIMELF,MINIMELF,"General-purpose SMD diode, any type"
D2,LL4148,DIODE-MINIMELF,MINIMELF,
D3,LL4148,DIODE-MINIMELF,MINIMELF,
G0,G0,TAC_SWITCHSMD,TACTILE_SWITCH_SMD,4.5mmx4.5mm SMD tactile button
IC2,TP4054,MCP73831,SOT23-5,"LiPo charger TP4054 or MCP73831/MCP73832, interchangeable"
JP1,,PINHD-2X4,2X04,"For ESP-1, backward compatible"
LED,RGBLED5050,RGBLED5050,RGBLED5050,5mmx5mm RGB LED
P,M11PTH,PINHD-1X12-CB,1X12-CB,
R1,10K,R-US_R0603,R0603,General-purpose 10K 0603 5% resistor
R2,10K,R-US_R0603,R0603,
R3,10K,R-US_R0603,R0603,
R4,10K,R-US_R0603,R0603,
R5,10K,R-US_R0603,R0603,
RC,4.7K,R-US_R0805,R0805,General-purpose 4.7K 0805 5% resistor
RE,1K,R-US_R0603,R0603,General-purpose 1K 0603 5% resistor
RN1,300R,4R-NEXB38V,EXB38V,"300 ohm x 4 resistor network (1206, 0603x4)"
U$1,,ESP12,ESP12,ESP-12 or ESP-7 module
X2,12MHz,RESONATORSMD,RESONATOR-SMD,12MHz resonator
X3,USB mini,USB mini,USB mini,Mini-USB SMD
